Date,Total_Generation_GWh,Fossil_Generation_GWh,Clean_Generation_GWh,Coal_Generation_GWh,Solar_Generation_GWh,Wind_Generation_GWh,Hydro_Generation_GWh,Gas_Generation_GWh,Nuclear_Generation_GWh,Bioenergy_Generation_GWh,CO2_Intensity_gCO2_kWh,Total_Emissions_ktCO2,Fossil_Capacity_MW,Clean_Capacity_MW,Coal_Capacity_MW,Solar_Capacity_MW,Wind_Capacity_MW,Hydro_Capacity_MW,Coal_Share,Gas_Share,Solar_Share,Wind_Share,Hydro_Share,Nuclear_Share,Bioenergy_Share,Clean_Share,Fossil_Share
2019-01-01,110268.43,90353.52,19914.91,86375.09,3534.81,2851.89,7790.99,3971.55,3120.11,2582.0,669.27,73799.11,226656.05,130399.8,201135.7,28225.72,35625.96,49849.17,0.7833165848103578,0.036017108432576765,0.03205640998062637,0.02586315956434675,0.07065476492229009,0.02829558741336936,0.023415586854732585,0.18060391355893976,0.8193960864410603
2019-02-01,100838.65,81500.42,19338.23,78298.38,3630.46,3094.47,7506.94,3194.95,2878.99,2186.5,661.48,66702.63,226656.05,130399.8,201135.7,28225.72,35625.96,49849.17,0.7764719182575333,0.0316837839459374,0.0360026636612053,0.030687340617907916,0.07444506645021527,0.028550461554175902,0.02168315422707464,0.19177398745421523,0.8082260125457849
2019-03-01,117111.22,95223.98,21887.24,91481.45,4307.99,2965.95,9156.48,3732.91,3355.95,2070.17,664.56,77827.4,226656.05,130399.8,201135.7,28225.72,35625.96,49849.17,0.7811501750216588,0.031874913436987506,0.03678545915583494,0.025325925218779206,0.07818618916274632,0.02865609290040698,0.017676956998654784,0.1868927674052068,0.8131072325947932
2019-04-01,118905.47,94666.84,24238.63,90446.02,4181.22,3707.29,11587.73,4206.71,3287.32,1436.3,648.65,77127.77,226356.05,131117.22,200835.7,28724.22,35815.88,49850.17,0.7606548294203791,0.03537860789751725,0.035164235926236194,0.031178464708141684,0.09745329630335761,0.027646499357851243,0.012079343364102593,0.20384789698909564,0.7961521030109043
2019-05-01,129132.22,98842.21,30290.01,94375.57,4342.58,6603.94,14670.01,4451.92,3782.3,861.81,623.06,80457.6,226356.05,132130.09,200835.7,29454.26,36089.12,49859.77,0.7308444786281844,0.03447567152489131,0.0336289424901082,0.05114091587676569,0.1136045674735554,0.029290133786904617,0.00667385722943507,0.23456585815685657,0.7654341418431434
2019-06-01,126546.5,94220.74,32325.76,89885.26,3931.59,8781.15,15006.73,4328.38,4052.02,516.04,605.68,76646.02,226401.05,132550.56,200880.7,29594.32,36368.47,49860.82,0.7102943186891775,0.034203869723777425,0.0310683424669983,0.06939069828086908,0.11858668552666411,0.032020008455389916,0.004077868609562493,0.2554457057287242,0.7445542942712758
2019-07-01,123708.34,87371.93,36336.41,83204.33,3438.82,11343.6,16636.12,4159.71,4382.27,506.57,574.99,71130.64,227577.84,133534.19,202057.5,30116.39,36686.82,50004.02,0.6725846454652936,0.03362513796563756,0.02779780247637306,0.09169632378867909,0.13447856466265734,0.03542420826275739,0.004094873474173205,0.2937264375223207,0.7062735624776794
2019-08-01,119935.29,80782.13,39153.16,76827.46,3587.46,9704.01,21048.86,3947.63,4302.32,485.42,549.35,65886.13,228237.84,134240.75,202717.5,30753.86,36750.42,50008.02,0.6405742630046587,0.03291466590025338,0.02991162984639467,0.08091038092291268,0.17550180601556056,0.03587201064840882,0.004047349199722617,0.3264523727753525,0.6735476272246477
2019-09-01,114787.86,78980.25,35807.61,74596.24,3565.13,5477.94,22081.09,4377.15,4220.23,436.39,559.57,64231.89,229229.94,134923.41,203921.28,31247.56,36920.22,50027.18,0.6498617536732544,0.038132516800992715,0.031058423774082033,0.04772229397777779,0.1923643319075728,0.036765473282627616,0.0038017086475869485,0.3119459671083684,0.6880540328916316
2019-10-01,105698.24,79114.94,26583.3,74857.26,3882.41,2111.48,15746.26,4250.39,4312.43,498.93,607.64,64225.95,229334.94,135606.06,203814.58,31741.27,37090.02,50046.32,0.7082167120285068,0.04021249549661376,0.0367310751815735,0.019976491566936212,0.14897371990299932,0.04079944945157081,0.004720324576833067,0.25150182254690334,0.7484981774530967
2019-11-01,101940.27,79533.01,22407.26,75718.4,3936.81,2723.82,10856.35,3807.33,3792.35,1070.36,635.0,64732.0,229334.94,136870.52,203814.58,32758.42,37297.6,50058.55,0.7427722135717316,0.037348635627510104,0.03861879118036474,0.026719764426756963,0.10649716740989601,0.0372016868309256,0.01049987409293697,0.2198077364323245,0.7801922635676753
2019-12-01,109637.33,86329.15,23308.18,82769.77,3928.39,3948.74,9628.58,3551.76,3676.59,2096.27,644.01,70607.38,230653.06,138134.97,205114.58,33775.57,37505.18,50070.77,0.7549414966599424,0.03239553535278541,0.0358307704136903,0.036016382376331126,0.08782209490143549,0.03353410740666523,0.019120038767817493,0.21259346611231777,0.7874065338876821
2020-01-01,113604.48,90803.1,22801.38,87403.67,4612.73,3319.95,9227.23,3392.71,3437.39,2180.13,654.56,74361.11,230653.06,138547.59,205242.5,34080.67,37607.7,50075.77,0.7693681622414891,0.029864227185406773,0.040603416344144175,0.029223759485541415,0.08122241305976666,0.030257521534362026,0.019190528401696837,0.20070845797630518,0.7992915420236949
2020-02-01,112325.29,89300.49,23024.8,85622.78,5090.66,3518.87,8998.02,3667.27,3172.9,2215.67,650.46,73062.72,230123.06,139285.77,204712.5,34450.68,37669.25,50382.38,0.762275174183837,0.03264865819620853,0.04532069314043169,0.03132749534855419,0.08010680408659529,0.028247423176027412,0.019725477672926553,0.20498322327945914,0.7950167767205409
2020-03-01,107274.26,82812.39,24461.87,78499.54,5633.32,3405.61,9729.55,4301.69,4054.31,1602.12,628.72,67445.17,231443.06,139553.91,206032.5,34672.83,37693.75,50382.38,0.7317649173249948,0.040099927046805074,0.05251324968356808,0.031746758262420086,0.09069789901137514,0.03779387525022312,0.014934803558654237,0.2280311232163242,0.7719688767836759
2020-04-01,91499.53,66805.72,24693.81,61936.91,5353.45,3473.87,10815.01,4858.01,3860.07,1158.15,590.66,54044.95,230533.06,139732.08,205122.5,34816.6,37725.05,50382.38,0.6769095972405542,0.05309327818405188,0.05850795080586753,0.0379659873662739,0.11819743773547252,0.04218677407414006,0.01265744206554941,0.26987909118221703,0.730120908817783
2020-05-01,109302.05,77893.75,31408.3,72655.32,5618.3,6237.89,14793.31,5227.27,3797.54,924.79,577.3,63099.53,230569.22,139910.25,205122.5,34960.37,37756.35,50382.38,0.6647205610507763,0.04782408015220209,0.051401597682751606,0.05707020133657146,0.13534339017429223,0.03474353866190067,0.008460866013034522,0.2873532564119337,0.7126467435880662
2020-06-01,112949.66,78147.17,34802.49,73055.31,4703.23,7895.79,17833.2,5081.06,3764.73,482.08,560.46,63304.0,230839.22,140195.42,205392.5,35167.34,37829.55,50387.38,0.6467953068650228,0.0449851730408042,0.04164005451632169,0.06990538971077911,0.1578862654389575,0.03333104322757589,0.004268096070408711,0.3081239022764654,0.6918760977235345
2020-07-01,120001.58,85447.27,34554.31,80575.48,4639.49,6966.95,19002.05,4860.63,3358.52,443.06,578.03,69364.49,231639.22,140756.55,206192.5,35475.85,37914.55,50413.28,0.671453492529015,0.040504716687896944,0.038661907618216355,0.05805715224749541,0.15834833174696533,0.0279872981672408,0.0036921180537789586,0.2879487920075719,0.7120512079924282
2020-08-01,117338.61,79033.7,38304.91,74687.06,4264.75,9645.5,20224.66,4335.48,3590.73,426.03,548.15,64318.69,231389.22,141317.66,205942.5,35784.36,37999.55,50439.18,0.6365088183676285,0.036948452005695305,0.036345666613913356,0.08220226914227124,0.17236150999232053,0.030601436304725272,0.0036307742183071708,0.32644762026753177,0.6735523797324683
2020-09-01,120133.41,85987.73,34145.68,81583.85,4550.71,4852.13,20267.43,4393.48,3881.96,453.01,582.46,69973.18,231354.22,141753.64,205942.5,36095.75,38124.15,50439.18,0.6791104156620544,0.03657167477390344,0.03788046972112088,0.04038951362489419,0.16870768922650242,0.0323137418641492,0.003770891045213817,0.2842313391420422,0.7157686608579578
2020-10-01,117554.71,89655.52,27899.19,84889.02,4876.01,3989.93,14343.77,4760.75,3969.13,558.98,618.86,72750.31,231254.22,142159.88,205842.5,36362.58,38263.05,50439.68,0.7221235116823477,0.040498164641808054,0.0414786442840104,0.03394104753437782,0.12201782472178273,0.033764108643541374,0.004755062557680589,0.23732941028054083,0.7626705897194591
