State,Date,Capacity_Bioenergy_MW,Capacity_Clean_MW,Capacity_Coal_MW,Capacity_Fossil_MW,Capacity_Gas and Other Fossil_MW,Capacity_Gas_MW,"Capacity_Hydro, Bioenergy and Other Renewables_MW",Capacity_Hydro_MW,Capacity_Nuclear_MW,Capacity_Other Fossil_MW,Capacity_Other Renewables_MW,Capacity_Renewables_MW,Capacity_Solar_MW,Capacity_Wind and Solar_MW,Capacity_Wind_MW,Electricity generation_Bioenergy_%,Electricity generation_Bioenergy_GWh,Electricity generation_Clean_%,Electricity generation_Clean_GWh,Electricity generation_Coal_%,Electricity generation_Coal_GWh,Electricity generation_Fossil_%,Electricity generation_Fossil_GWh,Electricity generation_Gas and Other Fossil_%,Electricity generation_Gas and Other Fossil_GWh,Electricity generation_Gas_%,Electricity generation_Gas_GWh,"Electricity generation_Hydro, Bioenergy and Other Renewables_%","Electricity generation_Hydro, Bioenergy and Other Renewables_GWh",Electricity generation_Hydro_%,Electricity generation_Hydro_GWh,Electricity generation_Nuclear_%,Electricity generation_Nuclear_GWh,Electricity generation_Other Fossil_%,Electricity generation_Other Fossil_GWh,Electricity generation_Other Renewables_%,Electricity generation_Other Renewables_GWh,Electricity generation_Renewables_%,Electricity generation_Renewables_GWh,Electricity generation_Solar_%,Electricity generation_Solar_GWh,Electricity generation_Total Generation_GWh,Electricity generation_Wind and Solar_%,Electricity generation_Wind and Solar_GWh,Electricity generation_Wind_%,Electricity generation_Wind_GWh,Power sector emissions_Bioenergy_%,Power sector emissions_Bioenergy_ktCO2,Power sector emissions_CO2 intensity_gCO2/kWh,Power sector emissions_Clean_%,Power sector emissions_Clean_ktCO2,Power sector emissions_Coal_%,Power sector emissions_Coal_ktCO2,Power sector emissions_Fossil_%,Power sector emissions_Fossil_ktCO2,Power sector emissions_Gas and Other Fossil_%,Power sector emissions_Gas and Other Fossil_ktCO2,Power sector emissions_Gas_%,Power sector emissions_Gas_ktCO2,"Power sector emissions_Hydro, Bioenergy and Other Renewables_%","Power sector emissions_Hydro, Bioenergy and Other Renewables_ktCO2",Power sector emissions_Hydro_%,Power sector emissions_Hydro_ktCO2,Power sector emissions_Nuclear_%,Power sector emissions_Nuclear_ktCO2,Power sector emissions_Other Fossil_%,Power sector emissions_Other Fossil_ktCO2,Power sector emissions_Other Renewables_%,Power sector emissions_Other Renewables_ktCO2,Power sector emissions_Renewables_%,Power sector emissions_Renewables_ktCO2,Power sector emissions_Solar_%,Power sector emissions_Solar_ktCO2,Power sector emissions_Total emissions_ktCO2,Power sector emissions_Wind and Solar_%,Power sector emissions_Wind and Solar_ktCO2,Power sector emissions_Wind_%,Power sector emissions_Wind_ktCO2
Andaman and Nicobar,2019-01-01,,,,,,,,,,,,,,,,0.0,0.0,27.11,2.56,0.0,0.0,72.88,6.88,72.88,6.88,0.0,0.0,11.86,1.12,11.86,1.12,0.0,0.0,72.88,6.88,0.0,0.0,27.11,2.56,15.25,1.44,9.44,15.25,1.44,0.0,0.0,0.0,0.0,521.19,0.1,0.1,0.0,0.0,4.82,4.82,4.82,4.82,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,4.82,4.82,0.0,0.0,0.1,0.1,0.07,0.07,4.92,0.07,0.07,0.0,0.0
Andaman and Nicobar,2019-02-01,,,,,,,,,,,,,,,,0.0,0.0,28.08,2.71,0.0,0.0,71.92,6.94,71.92,6.94,0.0,0.0,10.26,0.99,10.26,0.99,0.0,0.0,71.92,6.94,0.0,0.0,28.08,2.71,17.82,1.72,9.65,17.82,1.72,0.0,0.0,0.0,0.0,513.99,0.1,0.1,0.0,0.0,4.86,4.86,4.86,4.86,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,4.86,4.86,0.0,0.0,0.1,0.1,0.08,0.08,4.96,0.08,0.08,0.0,0.0
Andaman and Nicobar,2019-03-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,31.05,3.12,0.0,0.0,68.96,6.93,68.96,6.93,0.0,0.0,10.65,1.07,10.65,1.07,0.0,0.0,68.96,6.93,0.0,0.0,31.05,3.12,20.4,2.05,10.05,20.4,2.05,0.0,0.0,0.0,0.0,495.52,0.13,0.13,0.0,0.0,4.85,4.85,4.85,4.85,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,4.85,4.85,0.0,0.0,0.13,0.13,0.1,0.1,4.98,0.1,0.1,0.0,0.0
Andaman and Nicobar,2019-04-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,22.75,2.57,0.0,0.0,77.26,8.73,77.26,8.73,0.0,0.0,5.58,0.63,5.58,0.63,0.0,0.0,77.26,8.73,0.0,0.0,22.75,2.57,17.17,1.94,11.3,17.17,1.94,0.0,0.0,0.0,0.0,550.44,0.11,0.11,0.0,0.0,6.11,6.11,6.11,6.11,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,6.11,6.11,0.0,0.0,0.11,0.11,0.09,0.09,6.22,0.09,0.09,0.0,0.0
Andaman and Nicobar,2019-05-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,17.72,1.78,0.0,0.0,82.27,8.26,82.27,8.26,0.0,0.0,1.29,0.13,1.29,0.13,0.0,0.0,82.27,8.26,0.0,0.0,17.72,1.78,16.43,1.65,10.04,16.43,1.65,0.0,0.0,0.0,0.0,583.67,0.08,0.08,0.0,0.0,5.78,5.78,5.78,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,5.78,0.0,0.0,0.08,0.08,0.08,0.08,5.86,0.08,0.08,0.0,0.0
Andaman and Nicobar,2019-06-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,14.74,1.21,0.0,0.0,85.26,7.0,85.26,7.0,0.0,0.0,0.49,0.04,0.49,0.04,0.0,0.0,85.26,7.0,0.0,0.0,14.74,1.21,14.25,1.17,8.21,14.25,1.17,0.0,0.0,0.0,0.0,604.14,0.06,0.06,0.0,0.0,4.9,4.9,4.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.9,0.0,0.0,0.06,0.06,0.06,0.06,4.96,0.06,0.06,0.0,0.0
Andaman and Nicobar,2019-07-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,11.48,1.01,0.0,0.0,88.52,7.79,88.52,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.52,7.79,0.0,0.0,11.48,1.01,11.48,1.01,8.8,11.48,1.01,0.0,0.0,0.0,0.0,625.0,0.05,0.05,0.0,0.0,5.45,5.45,5.45,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,5.45,0.0,0.0,0.05,0.05,0.05,0.05,5.5,0.05,0.05,0.0,0.0
Andaman and Nicobar,2019-08-01,0.0,16.98,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,16.98,11.73,11.73,0.0,0.0,0.0,6.13,0.46,0.0,0.0,93.87,7.04,93.87,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87,7.04,0.0,0.0,6.13,0.46,6.13,0.46,7.5,6.13,0.46,0.0,0.0,0.0,0.0,660.0,0.02,0.02,0.0,0.0,4.93,4.93,4.93,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,4.93,0.0,0.0,0.02,0.02,0.02,0.02,4.95,0.02,0.02,0.0,0.0
Andaman and Nicobar,2019-09-01,0.0,17.21,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.21,11.96,11.96,0.0,0.0,0.0,8.65,0.65,0.0,0.0,91.34,6.86,91.34,6.86,0.0,0.0,0.93,0.07,0.93,0.07,0.0,0.0,91.34,6.86,0.0,0.0,8.65,0.65,7.72,0.58,7.51,7.72,0.58,0.0,0.0,0.0,0.0,643.14,0.03,0.03,0.0,0.0,4.8,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.03,0.03,0.03,0.03,4.83,0.03,0.03,0.0,0.0
Andaman and Nicobar,2019-10-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,19.26,1.74,0.0,0.0,80.74,7.29,80.74,7.29,0.0,0.0,10.36,0.94,10.36,0.94,0.0,0.0,80.74,7.29,0.0,0.0,19.26,1.74,8.9,0.8,9.03,8.9,0.8,0.0,0.0,0.0,0.0,571.43,0.06,0.06,0.0,0.0,5.1,5.1,5.1,5.1,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,5.1,5.1,0.0,0.0,0.06,0.06,0.04,0.04,5.16,0.04,0.04,0.0,0.0
Andaman and Nicobar,2019-11-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,22.59,2.12,0.0,0.0,77.41,7.28,77.41,7.28,0.0,0.0,16.09,1.51,16.09,1.51,0.0,0.0,77.41,7.28,0.0,0.0,22.59,2.12,6.5,0.61,9.4,6.5,0.61,0.0,0.0,0.0,0.0,550.0,0.07,0.07,0.0,0.0,5.1,5.1,5.1,5.1,0.0,0.0,0.04,0.04,0.04,0.04,0.0,0.0,5.1,5.1,0.0,0.0,0.07,0.07,0.03,0.03,5.17,0.03,0.03,0.0,0.0
Andaman and Nicobar,2019-12-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,19.08,1.8,0.0,0.0,80.92,7.62,80.92,7.62,0.0,0.0,11.12,1.05,11.12,1.05,0.0,0.0,80.92,7.62,0.0,0.0,19.08,1.8,7.96,0.75,9.42,7.96,0.75,0.0,0.0,0.0,0.0,573.25,0.07,0.07,0.0,0.0,5.33,5.33,5.33,5.33,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,5.33,5.33,0.0,0.0,0.07,0.07,0.04,0.04,5.4,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-01-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,19.62,1.64,0.0,0.0,80.38,6.72,80.38,6.72,0.0,0.0,8.85,0.74,8.85,0.74,0.0,0.0,80.38,6.72,0.0,0.0,19.62,1.64,10.77,0.9,8.36,10.77,0.9,0.0,0.0,0.0,0.0,569.38,0.06,0.06,0.0,0.0,4.7,4.7,4.7,4.7,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,4.7,4.7,0.0,0.0,0.06,0.06,0.04,0.04,4.76,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-02-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,13.29,1.6,0.0,0.0,86.71,10.44,86.71,10.44,0.0,0.0,6.15,0.74,6.15,0.74,0.0,0.0,86.71,10.44,0.0,0.0,13.29,1.6,7.14,0.86,12.04,7.14,0.86,0.0,0.0,0.0,0.0,612.13,0.06,0.06,0.0,0.0,7.31,7.31,7.31,7.31,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,7.31,7.31,0.0,0.0,0.06,0.06,0.04,0.04,7.37,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-03-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,9.35,1.15,0.0,0.0,90.66,11.16,90.66,11.16,0.0,0.0,2.36,0.29,2.36,0.29,0.0,0.0,90.66,11.16,0.0,0.0,9.35,1.15,6.99,0.86,12.31,6.99,0.86,0.0,0.0,0.0,0.0,638.51,0.05,0.05,0.0,0.0,7.81,7.81,7.81,7.81,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,7.81,7.81,0.0,0.0,0.05,0.05,0.04,0.04,7.86,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-04-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,9.63,1.15,0.0,0.0,90.38,10.8,90.38,10.8,0.0,0.0,2.43,0.29,2.43,0.29,0.0,0.0,90.38,10.8,0.0,0.0,9.63,1.15,7.2,0.86,11.95,7.2,0.86,0.0,0.0,0.0,0.0,636.82,0.05,0.05,0.0,0.0,7.56,7.56,7.56,7.56,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,7.56,7.56,0.0,0.0,0.05,0.05,0.04,0.04,7.61,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-05-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,8.45,1.03,0.0,0.0,91.55,11.16,91.55,11.16,0.0,0.0,0.82,0.1,0.82,0.1,0.0,0.0,91.55,11.16,0.0,0.0,8.45,1.03,7.63,0.93,12.19,7.63,0.93,0.0,0.0,0.0,0.0,643.97,0.04,0.04,0.0,0.0,7.81,7.81,7.81,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,7.81,0.0,0.0,0.04,0.04,0.04,0.04,7.85,0.04,0.04,0.0,0.0
Andaman and Nicobar,2020-06-01,0.0,17.44,0.0,40.05,40.05,0.0,5.25,5.25,0.0,40.05,0.0,17.44,12.19,12.19,0.0,0.0,0.0,13.53,1.69,0.0,0.0,86.47,10.8,86.47,10.8,0.0,0.0,5.44,0.68,5.44,0.68,0.0,0.0,86.47,10.8,0.0,0.0,13.53,1.69,8.09,1.01,12.49,8.09,1.01,0.0,0.0,0.0,0.0,610.89,0.07,0.07,0.0,0.0,7.56,7.56,7.56,7.56,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,7.56,7.56,0.0,0.0,0.07,0.07,0.05,0.05,7.63,0.05,0.05,0.0,0.0
